result,radmean,,textmean,,perimean,,areamean,,smoomean,,compmean,,concave,,copoints,,symmetry,,fractal,,radse,,textse,,perimtrse,,arease,,smoothse,,compse,,concavse,,conptse
6,11.71,,16.67,,74.72,,423.6,,0.1051,,0.06095,,0.03592,,0.026,,0.1339,,0.05945,,0.4489,,2.508,,3.258,,34.37,,0.006578,,0.0138,,0.02662,,0.01307
6,11.43,,15.39,,73.06,,399.8,,0.09639,,0.06889,,0.03503,,0.02875,,0.1734,,0.05865,,0.1759,,0.9938,,1.143,,12.67,,0.005133,,0.01521,,0.01434,,0.008602
6,14.95,,17.57,,96.85,,678.1,,0.1167,,0.1305,,0.1539,,0.08624,,0.1957,,0.06216,,1.296,,1.452,,8.419,,101.9,,0.01,,0.0348,,0.06577,,0.02801
6,11.28,,13.39,,73,,384.8,,0.1164,,0.1136,,0.04635,,0.04796,,0.1771,,0.06072,,0.3384,,1.343,,1.851,,26.33,,0.01127,,0.03498,,0.02187,,0.01965
6,9.738,,11.97,,61.24,,288.5,,0.0925,,0.04102,,0,,0,,0.1903,,0.06422,,0.1988,,0.496,,1.218,,12.26,,0.00604,,0.005656,,0,,0
7,16.11,,18.05,,105.1,,813,,0.09721,,0.1137,,0.09447,,0.05943,,0.1861,,0.06248,,0.7049,,1.332,,4.533,,74.08,,0.00677,,0.01938,,0.03067,,0.01167
7,11.43,,17.31,,73.66,,398,,0.1092,,0.09486,,0.02031,,0.01861,,0.1645,,0.06562,,0.2843,,1.908,,1.937,,21.38,,0.006664,,0.01735,,0.01158,,0.00952
7,12.9,,15.92,,83.74,,512.2,,0.08677,,0.09509,,0.04894,,0.03088,,0.1778,,0.06235,,0.2143,,0.7712,,1.689,,16.64,,0.005324,,0.01563,,0.0151,,0.007584
7,10.75,,14.97,,68.26,,355.3,,0.07793,,0.05139,,0.02251,,0.007875,,0.1399,,0.05688,,0.2525,,1.239,,1.806,,17.74,,0.006547,,0.01781,,0.02018,,0.005612
7,11.9,,14.65,,78.11,,432.8,,0.1152,,0.1296,,0.0371,,0.03003,,0.1995,,0.07839,,0.3962,,0.6538,,3.021,,25.03,,0.01017,,0.04741,,0.02789,,0.0111
7,11.8,,16.58,,78.99,,432,,0.1091,,0.17,,0.1659,,0.07415,,0.2678,,0.07371,,0.3197,,1.426,,2.281,,24.72,,0.005427,,0.03633,,0.04649,,0.01843
7,14.95,,18.77,,97.84,,689.5,,0.08138,,0.1167,,0.0905,,0.03562,,0.1744,,0.06493,,0.422,,1.909,,3.271,,39.43,,0.00579,,0.04877,,0.05303,,0.01527
7,14.44,,15.18,,93.97,,640.1,,0.0997,,0.1021,,0.08487,,0.05532,,0.1724,,0.06081,,0.2406,,0.7394,,2.12,,21.2,,0.005706,,0.02297,,0.03114,,0.01493
7,13.74,,17.91,,88.12,,585,,0.07944,,0.06376,,0.02881,,0.01329,,0.1473,,0.0558,,0.25,,0.7574,,1.573,,21.47,,0.002838,,0.01592,,0.0178,,0.005828
7,13,,20.78,,83.51,,519.4,,0.1135,,0.07589,,0.03136,,0.02645,,0.254,,0.06087,,0.4202,,1.322,,2.873,,34.78,,0.007017,,0.01142,,0.01949,,0.01153
7,8.219,,20.7,,53.27,,203.9,,0.09405,,0.1305,,0.1321,,0.02168,,0.2222,,0.08261,,0.1935,,1.962,,1.243,,10.21,,0.01243,,0.05416,,0.07753,,0.01022
7,9.731,,15.34,,63.78,,300.2,,0.1072,,0.1599,,0.4108,,0.07857,,0.2548,,0.09296,,0.8245,,2.664,,4.073,,49.85,,0.01097,,0.09586,,0.396,,0.05279
7,11.15,,13.08,,70.87,,381.9,,0.09754,,0.05113,,0.01982,,0.01786,,0.183,,0.06105,,0.2251,,0.7815,,1.429,,15.48,,0.009019,,0.008985,,0.01196,,0.008232
7,13.15,,15.34,,85.31,,538.9,,0.09384,,0.08498,,0.09293,,0.03483,,0.1822,,0.06207,,0.271,,0.7927,,1.819,,22.79,,0.008584,,0.02017,,0.03047,,0.009536
7,12.25,,17.94,,78.27,,460.3,,0.08654,,0.06679,,0.03885,,0.02331,,0.197,,0.06228,,0.22,,0.9823,,1.484,,16.51,,0.005518,,0.01562,,0.01994,,0.007924
7,17.68,,20.74,,117.4,,963.7,,0.1115,,0.1665,,0.1855,,0.1054,,0.1971,,0.06166,,0.8113,,1.4,,5.54,,93.91,,0.009037,,0.04954,,0.05206,,0.01841
7,16.84,,19.46,,108.4,,880.2,,0.07445,,0.07223,,0.0515,,0.02771,,0.1844,,0.05268,,0.4789,,2.06,,3.479,,46.61,,0.003443,,0.02661,,0.03056,,0.0111
7,12.06,,12.74,,76.84,,448.6,,0.09311,,0.05241,,0.01972,,0.01963,,0.159,,0.05907,,0.1822,,0.7285,,1.171,,13.25,,0.005528,,0.009789,,0.008342,,0.006273
7,10.9,,12.96,,68.69,,366.8,,0.07515,,0.03718,,0.00309,,0.006588,,0.1442,,0.05743,,0.2818,,0.7614,,1.808,,18.54,,0.006142,,0.006134,,0.001835,,0.003576
7,11.75,,20.18,,76.1,,419.8,,0.1089,,0.1141,,0.06843,,0.03738,,0.1993,,0.06453,,0.5018,,1.693,,3.926,,38.34,,0.009433,,0.02405,,0.04167,,0.01152
7,19.19,,15.94,,126.3,,1157,,0.08694,,0.1185,,0.1193,,0.09667,,0.1741,,0.05176,,1,,0.6336,,6.971,,119.3,,0.009406,,0.03055,,0.04344,,0.02794
7,19.59,,18.15,,130.7,,1214,,0.112,,0.1666,,0.2508,,0.1286,,0.2027,,0.06082,,0.7364,,1.048,,4.792,,97.07,,0.004057,,0.02277,,0.04029,,0.01303
7,12.34,,22.22,,79.85,,464.5,,0.1012,,0.1015,,0.0537,,0.02822,,0.1551,,0.06761,,0.2949,,1.656,,1.955,,21.55,,0.01134,,0.03175,,0.03125,,0.01135
7,23.27,,22.04,,152.1,,1686,,0.08439,,0.1145,,0.1324,,0.09702,,0.1801,,0.05553,,0.6642,,0.8561,,4.603,,97.85,,0.00491,,0.02544,,0.02822,,0.01623
7,14.97,,19.76,,95.5,,690.2,,0.08421,,0.05352,,0.01947,,0.01939,,0.1515,,0.05266,,0.184,,1.065,,1.286,,16.64,,0.003634,,0.007983,,0.008268,,0.006432
8,10.8,,9.71,,68.77,,357.6,,0.09594,,0.05736,,0.02531,,0.01698,,0.1381,,0.064,,0.1728,,0.4064,,1.126,,11.48,,0.007809,,0.009816,,0.01099,,0.005344
8,16.78,,18.8,,109.3,,886.3,,0.08865,,0.09182,,0.08422,,0.06576,,0.1893,,0.05534,,0.599,,1.391,,4.129,,67.34,,0.006123,,0.0247,,0.02626,,0.01604
8,17.47,,24.68,,116.1,,984.6,,0.1049,,0.1603,,0.2159,,0.1043,,0.1538,,0.06365,,1.088,,1.41,,7.337,,122.3,,0.006174,,0.03634,,0.04644,,0.01569
8,14.97,,16.95,,96.22,,685.9,,0.09855,,0.07885,,0.02602,,0.03781,,0.178,,0.0565,,0.2713,,1.217,,1.893,,24.28,,0.00508,,0.0137,,0.007276,,0.009073
8,12.32,,12.39,,78.85,,464.1,,0.1028,,0.06981,,0.03987,,0.037,,0.1959,,0.05955,,0.236,,0.6656,,1.67,,17.43,,0.008045,,0.0118,,0.01683,,0.01241
8,13.43,,19.63,,85.84,,565.4,,0.09048,,0.06288,,0.05858,,0.03438,,0.1598,,0.05671,,0.4697,,1.147,,3.142,,43.4,,0.006003,,0.01063,,0.02151,,0.009443
8,15.46,,11.89,,102.5,,736.9,,0.1257,,0.1555,,0.2032,,0.1097,,0.1966,,0.07069,,0.4209,,0.6583,,2.805,,44.64,,0.005393,,0.02321,,0.04303,,0.0132
8,11.08,,14.71,,70.21,,372.7,,0.1006,,0.05743,,0.02363,,0.02583,,0.1566,,0.06669,,0.2073,,1.805,,1.377,,19.08,,0.01496,,0.02121,,0.01453,,0.01583
8,10.66,,15.15,,67.49,,349.6,,0.08792,,0.04302,,0,,0,,0.1928,,0.05975,,0.3309,,1.925,,2.155,,21.98,,0.008713,,0.01017,,0,,0
8,8.671,,14.45,,54.42,,227.2,,0.09138,,0.04276,,0,,0,,0.1722,,0.06724,,0.2204,,0.7873,,1.435,,11.36,,0.009172,,0.008007,,0,,0
8,9.904,,18.06,,64.6,,302.4,,0.09699,,0.1294,,0.1307,,0.03716,,0.1669,,0.08116,,0.4311,,2.261,,3.132,,27.48,,0.01286,,0.08808,,0.1197,,0.0246
8,16.46,,20.11,,109.3,,832.9,,0.09831,,0.1556,,0.1793,,0.08866,,0.1794,,0.06323,,0.3037,,1.284,,2.482,,31.59,,0.006627,,0.04094,,0.05371,,0.01813
8,13.01,,22.22,,82.01,,526.4,,0.06251,,0.01938,,0.001595,,0.001852,,0.1395,,0.05234,,0.1731,,1.142,,1.101,,14.34,,0.003418,,0.002252,,0.001595,,0.001852
8,12.81,,13.06,,81.29,,508.8,,0.08739,,0.03774,,0.009193,,0.0133,,0.1466,,0.06133,,0.2889,,0.9899,,1.778,,21.79,,0.008534,,0.006364,,0.00618,,0.007408
8,27.22,,21.87,,182.1,,2250,,0.1094,,0.1914,,0.2871,,0.1878,,0.18,,0.0577,,0.8361,,1.481,,5.82,,128.7,,0.004631,,0.02537,,0.03109,,0.01241
8,21.09,,26.57,,142.7,,1311,,0.1141,,0.2832,,0.2487,,0.1496,,0.2395,,0.07398,,0.6298,,0.7629,,4.414,,81.46,,0.004253,,0.04759,,0.03872,,0.01567
8,15.7,,20.31,,101.2,,766.6,,0.09597,,0.08799,,0.06593,,0.05189,,0.1618,,0.05549,,0.3699,,1.15,,2.406,,40.98,,0.004626,,0.02263,,0.01954,,0.009767
8,11.41,,14.92,,73.53,,402,,0.09059,,0.08155,,0.06181,,0.02361,,0.1167,,0.06217,,0.3344,,1.108,,1.902,,22.77,,0.007356,,0.03728,,0.05915,,0.01712
8,15.28,,22.41,,98.92,,710.6,,0.09057,,0.1052,,0.05375,,0.03263,,0.1727,,0.06317,,0.2054,,0.4956,,1.344,,19.53,,0.00329,,0.01395,,0.01774,,0.006009
8,10.08,,15.11,,63.76,,317.5,,0.09267,,0.04695,,0.001597,,0.002404,,0.1703,,0.06048,,0.4245,,1.268,,2.68,,26.43,,0.01439,,0.012,,0.001597,,0.002404
8,18.31,,18.58,,118.6,,1041,,0.08588,,0.08468,,0.08169,,0.05814,,0.1621,,0.05425,,0.2577,,0.4757,,1.817,,28.92,,0.002866,,0.009181,,0.01412,,0.006719
8,11.71,,17.19,,74.68,,420.3,,0.09774,,0.06141,,0.03809,,0.03239,,0.1516,,0.06095,,0.2451,,0.7655,,1.742,,17.86,,0.006905,,0.008704,,0.01978,,0.01185
8,11.81,,17.39,,75.27,,428.9,,0.1007,,0.05562,,0.02353,,0.01553,,0.1718,,0.0578,,0.1859,,1.926,,1.011,,14.47,,0.007831,,0.008776,,0.01556,,0.00624
8,12.3,,15.9,,78.83,,463.7,,0.0808,,0.07253,,0.03844,,0.01654,,0.1667,,0.05474,,0.2382,,0.8355,,1.687,,18.32,,0.005996,,0.02212,,0.02117,,0.006433
8,14.22,,23.12,,94.37,,609.9,,0.1075,,0.2413,,0.1981,,0.06618,,0.2384,,0.07542,,0.286,,2.11,,2.112,,31.72,,0.00797,,0.1354,,0.1166,,0.01666
8,12.77,,21.41,,82.02,,507.4,,0.08749,,0.06601,,0.03112,,0.02864,,0.1694,,0.06287,,0.7311,,1.748,,5.118,,53.65,,0.004571,,0.0179,,0.02176,,0.01757
8,9.72,,18.22,,60.73,,288.1,,0.0695,,0.02344,,0,,0,,0.1653,,0.06447,,0.3539,,4.885,,2.23,,21.69,,0.001713,,0.006736,,0,,0
8,12.34,,26.86,,81.15,,477.4,,0.1034,,0.1353,,0.1085,,0.04562,,0.1943,,0.06937,,0.4053,,1.809,,2.642,,34.44,,0.009098,,0.03845,,0.03763,,0.01321
8,14.86,,23.21,,100.4,,671.4,,0.1044,,0.198,,0.1697,,0.08878,,0.1737,,0.06672,,0.2796,,0.9622,,3.591,,25.2,,0.008081,,0.05122,,0.05551,,0.01883
8,12.91,,16.33,,82.53,,516.4,,0.07941,,0.05366,,0.03873,,0.02377,,0.1829,,0.05667,,0.1942,,0.9086,,1.493,,15.75,,0.005298,,0.01587,,0.02321,,0.00842
8,13.77,,22.29,,90.63,,588.9,,0.12,,0.1267,,0.1385,,0.06526,,0.1834,,0.06877,,0.6191,,2.112,,4.906,,49.7,,0.0138,,0.03348,,0.04665,,0.0206
